yearsage,yearsed,pc_in,pc_vo,pc_co,pc_si,pc_pc,pc_pa,pc_bd,pc_oa
22,12,68.96551724,60,53.125,60.71428571,85,70,58.82352941,80.48780488
22,12,75.86206897,70,59.375,82.14285714,80,90,66.66666667,85.36585366
22,14,96.55172414,84.28571429,78.125,75,90,80,88.23529412,95.12195122
22,12,75.86206897,40,50,71.42857143,95,80,54.90196078,73.17073171
22,12,68.96551724,72.85714286,53.125,82.14285714,85,15,80.39215686,80.48780488
22,12,75.86206897,62.85714286,75,78.57142857,90,80,64.70588235,78.04878049
22,14,79.31034483,77.14285714,56.25,75,80,80,82.35294118,85.36585366
22,12,51.72413793,40,71.875,50,75,50,74.50980392,78.04878049
22,12,65.51724138,67.14285714,46.875,60.71428571,65,70,58.82352941,60.97560976
22,12,72.4137931,72.85714286,59.375,60.71428571,95,75,76.47058824,73.17073171
22,12,62.06896552,40,59.375,42.85714286,75,20,68.62745098,80.48780488
22,10,55.17241379,41.42857143,53.125,25,75,80,82.35294118,82.92682927
22,10,58.62068966,55.71428571,75,75,85,80,94.11764706,92.68292683
22,12,58.62068966,65.71428571,68.75,82.14285714,85,70,54.90196078,78.04878049
22,12,48.27586207,52.85714286,40.625,50,70,75,35.29411765,60.97560976
22,16,89.65517241,87.14285714,84.375,92.85714286,90,95,62.74509804,92.68292683
22,12,58.62068966,48.57142857,50,46.42857143,75,55,76.47058824,82.92682927
22,14,86.20689655,88.57142857,87.5,96.42857143,100,75,56.8627451,78.04878049
22,12,86.20689655,75.71428571,75,67.85714286,80,60,82.35294118,75.6097561
22,12,48.27586207,25.71428571,40.625,57.14285714,70,40,25.49019608,14.63414634
22,12,89.65517241,78.57142857,87.5,85.71428571,85,95,86.2745098,65.85365854
22,12,62.06896552,50,62.5,60.71428571,95,90,70.58823529,95.12195122
22,12,55.17241379,61.42857143,50,82.14285714,90,80,54.90196078,82.92682927
22,12,51.72413793,50,81.25,60.71428571,95,90,56.8627451,78.04878049
22,12,48.27586207,54.28571429,59.375,71.42857143,65,70,60.78431373,78.04878049
22,12,55.17241379,62.85714286,68.75,82.14285714,65,85,70.58823529,90.24390244
22,14,65.51724138,68.57142857,68.75,75,85,75,70.58823529,63.41463415
22,10,13.79310345,31.42857143,28.125,57.14285714,75,70,49.01960784,68.29268293
22,14,65.51724138,72.85714286,50,64.28571429,75,65,96.07843137,87.80487805
22,12,86.20689655,84.28571429,81.25,89.28571429,90,80,86.2745098,90.24390244
22,10,41.37931035,51.42857143,56.25,67.85714286,95,80,66.66666667,78.04878049
22,12,65.51724138,65.71428571,71.875,82.14285714,90,90,84.31372549,85.36585366
22,14,65.51724138,82.85714286,65.625,78.57142857,80,90,86.2745098,78.04878049
22,8,65.51724138,65.71428571,75,64.28571429,50,15,47.05882353,53.65853659
22,14,82.75862069,74.28571429,59.375,67.85714286,90,85,39.21568628,56.09756098
22,10,51.72413793,68.57142857,43.75,64.28571429,60,70,62.74509804,36.58536585
22,12,65.51724138,58.57142857,84.375,96.42857143,95,90,94.11764706,97.56097561
22,10,37.93103448,34.28571429,50,60.71428571,80,75,60.78431373,78.04878049
22,14,34.48275862,42.85714286,43.75,53.57142857,85,10,56.8627451,82.92682927
22,10,55.17241379,61.42857143,37.5,42.85714286,45,40,56.8627451,80.48780488
22,12,89.65517241,75.71428571,75,78.57142857,85,75,70.58823529,85.36585366
22,10,65.51724138,67.14285714,75,53.57142857,70,55,60.78431373,82.92682927
22,16,96.55172414,92.85714286,90.625,75,90,90,90.19607843,92.68292683
22,12,86.20689655,74.28571429,65.625,67.85714286,85,90,66.66666667,75.6097561
22,12,13.79310345,14.28571429,18.75,0,25,10,39.21568628,41.46341463
22,14,86.20689655,58.57142857,62.5,75,80,65,68.62745098,78.04878049
22,3,6.896551724,7.142857143,9.375,0,5,10,3.921568628,21.95121951
22,8,65.51724138,52.85714286,53.125,67.85714286,70,25,64.70588235,80.48780488
22,12,48.27586207,58.57142857,37.5,64.28571429,75,90,80.39215686,75.6097561
22,10,82.75862069,71.42857143,59.375,64.28571429,95,100,72.54901961,80.48780488
22,14,82.75862069,85.71428571,84.375,100,75,70,88.23529412,82.92682927
22,14,89.65517241,72.85714286,78.125,78.57142857,90,70,74.50980392,85.36585366
22,14,41.37931035,35.71428571,46.875,60.71428571,75,60,45.09803922,85.36585366
22,14,72.4137931,65.71428571,71.875,78.57142857,85,75,86.2745098,48.78048781
22,14,86.20689655,74.28571429,71.875,78.57142857,85,65,72.54901961,85.36585366
22,14,89.65517241,87.14285714,71.875,96.42857143,85,90,64.70588235,82.92682927
22,12,86.20689655,87.14285714,68.75,78.57142857,75,70,37.25490196,75.6097561
22,14,79.31034483,88.57142857,81.25,92.85714286,80,75,90.19607843,90.24390244
22,14,93.10344828,80,81.25,75,80,85,90.19607843,87.80487805
22,14,96.55172414,94.28571429,81.25,92.85714286,95,90,96.07843137,92.68292683
22,14,86.20689655,61.42857143,78.125,85.71428571,95,75,54.90196078,78.04878049
22,12,58.62068966,31.42857143,46.875,50,75,55,68.62745098,82.92682927
22,10,55.17241379,51.42857143,50,46.42857143,60,45,41.17647059,51.2195122
22,14,68.96551724,41.42857143,65.625,78.57142857,80,95,80.39215686,90.24390244
22,12,86.20689655,80,50,60.71428571,70,55,66.66666667,82.92682927
22,10,24.13793103,28.57142857,56.25,60.71428571,70,40,29.41176471,34.14634146
22,10,68.96551724,50,18.75,57.14285714,65,55,47.05882353,58.53658537
22,12,72.4137931,54.28571429,62.5,71.42857143,80,45,70.58823529,82.92682927
22,12,24.13793103,22.85714286,43.75,39.28571429,70,60,45.09803922,70.73170732
22,10,24.13793103,25.71428571,34.375,46.42857143,70,55,45.09803922,80.48780488
22,10,62.06896552,41.42857143,43.75,64.28571429,75,80,35.29411765,78.04878049
22,12,44.82758621,27.14285714,31.25,17.85714286,40,70,49.01960784,73.17073171
22,14,27.5862069,31.42857143,56.25,82.14285714,85,75,86.2745098,87.80487805
22,14,62.06896552,48.57142857,75,82.14285714,90,45,88.23529412,80.48780488
22,16,89.65517241,80,65.625,75,80,75,56.8627451,80.48780488
22,16,82.75862069,75.71428571,75,71.42857143,90,85,72.54901961,92.68292683
22,14,75.86206897,80,65.625,71.42857143,85,55,52.94117647,90.24390244
22,16,72.4137931,67.14285714,59.375,82.14285714,85,85,72.54901961,92.68292683
22,12,65.51724138,77.14285714,84.375,71.42857143,80,70,27.45098039,43.90243902
22,12,51.72413793,61.42857143,59.375,64.28571429,85,60,52.94117647,78.04878049
22,14,75.86206897,61.42857143,71.875,92.85714286,90,60,43.1372549,82.92682927
22,14,79.31034483,80,78.125,82.14285714,85,95,80.39215686,92.68292683
22,10,51.72413793,74.28571429,43.75,71.42857143,90,45,62.74509804,68.29268293
22,8,31.03448276,47.14285714,43.75,42.85714286,85,50,35.29411765,75.6097561
22,14,89.65517241,91.42857143,78.125,89.28571429,90,80,80.39215686,75.6097561
22,12,58.62068966,64.28571429,68.75,75,85,70,58.82352941,63.41463415
22,14,55.17241379,72.85714286,75,92.85714286,85,80,68.62745098,78.04878049
22,16,62.06896552,72.85714286,81.25,89.28571429,85,80,98.03921569,90.24390244
22,12,65.51724138,60,68.75,60.71428571,65,55,41.17647059,73.17073171
22,14,89.65517241,84.28571429,68.75,75,55,80,58.82352941,78.04878049
22,12,48.27586207,77.14285714,65.625,60.71428571,85,75,47.05882353,85.36585366
22,14,72.4137931,72.85714286,75,67.85714286,70,85,76.47058824,82.92682927
22,12,55.17241379,51.42857143,59.375,60.71428571,80,40,88.23529412,82.92682927
22,16,62.06896552,81.42857143,71.875,92.85714286,95,80,78.43137255,95.12195122
22,12,48.27586207,55.71428571,65.625,67.85714286,90,65,72.54901961,78.04878049
22,14,86.20689655,72.85714286,71.875,85.71428571,75,65,47.05882353,75.6097561
22,12,62.06896552,60,59.375,60.71428571,75,50,50.98039216,82.92682927
22,16,82.75862069,78.57142857,71.875,92.85714286,70,65,39.21568628,73.17073171
22,12,51.72413793,52.85714286,31.25,50,90,65,86.2745098,87.80487805
22,12,65.51724138,48.57142857,62.5,67.85714286,80,70,82.35294118,95.12195122
22,16,75.86206897,78.57142857,93.75,78.57142857,90,85,80.39215686,97.56097561
22,12,41.37931035,60,50,67.85714286,75,65,70.58823529,87.80487805
22,12,48.27586207,41.42857143,43.75,50,85,60,45.09803922,80.48780488
22,14,65.51724138,64.28571429,75,57.14285714,80,40,70.58823529,87.80487805
22,12,75.86206897,78.57142857,65.625,64.28571429,80,95,54.90196078,75.6097561
22,12,65.51724138,64.28571429,75,60.71428571,90,50,84.31372549,87.80487805
