2 69.77 29.94 0.504 0.045 0.012 0 2 -1.408 29.48 0.998 0.871 0.248 0.008 -0.692 28.311 0.128 4 6 2.83 2.4 3.67 1.5 1.5 2.16 1.72 1.54 3 3 3.2 1 1 43.38 49.5 18.5 2 2 2 2 2 1 2 -0.52 2 1 16000 165.05 1.186 133.83 1.254 88.56 1.037
2 65.47 29.44 0.452 0.037 0.01 0 2 -1.444 23.87 0.989 0.556 0.041 0.001 -1.055 13.11 -1.012 2 8 3 2.2 4 1.25 2.5 1.72 1 1.02 2.33 3 3 1.2 1.25 44 51.5 18.7 2 2 2 2 2 1 2 -0.53 2 2 23000 144.49 0.973 100.7 0.755 73.86 0.351
2 61.53 27.56 0.264 0.017 0.005 0 3 -1.586 22.37 0.981 0.424 0.022 0.001 -1.172 23.695 -0.176 3 6 2.83 2.2 4 1.75 2.5 1.72 1 1.02 2.33 3 2.8 1.2 1 44 42 15.25 2 2 2 2 2 1 2 -0.45 2 2 68000 193.96 1.629 128.88 1.172 89.69 1.099
1 63.43 32.96 0.772 0.126 0.035 0 2 -1.167 26.34 0.995 0.735 0.1 0.003 -0.883 17.541 -0.621 5 3 3 3 3.33 1 2.5 2.66 2.11 2.46 3.5 4 3.8 1 1.5 43 47.75 18.16 2 2 2 2 2 1 2 -0.46 2 2 65000 174.75 1.305 143.72 1.43 91.49 1.202
2 67.87 35.12 0.885 0.237 0.069 0.001 3 -1.008 28.62 0.998 0.843 0.199 0.006 -0.741 21.689 -0.314 7 8 3.5 2.8 3.33 1.75 2 2.58 2.87 2.26 4 4 4 1 1 49.5 46.25 13.27 2 2 2 2 2 1 2 0.15 4 2 89000 161.48 1.146 157.87 1.735 78.41 0.546
2 69.5 34.51 0.86 0.201 0.057 0.001 3 -1.05 27.38 0.997 0.791 0.14 0.004 -0.809 20.308 -0.412 8 6 3.5 2.8 3.33 1.5 2 2.96 3.41 3.44 3.67 2.75 2.2 1.6 2 43.5 40 14.86 2 2 2 2 2 1 2 -0.27 3 2 75000 173.35 1.287 119.6 1.026 75.31 0.412
2 69.1 32.86 0.765 0.122 0.033 0 0 -1.167 17.28 0.846 0.083 0.002 0 -1.623 17.847 -0.597 3 0 3 3 3 2 2 2.04 1.55 1.54 2.67 2.75 3 1.2 1 43 42.5 16.16 2 2 2 2 2 1 2 0.82 5 2 33000 139.8 0.929 96.5 0.698 62.05 -0.116
1 70.63 23.96 0.038 0.002 0.001 0 0 -1.983 29.01 0.998 0.856 0.22 0.007 -0.719 24.24 -0.139 4 5 2.83 3 3.33 1.25 1.5 2.67 2.34 3.44 3.67 3 3.2 1.6 1.75 46.5 53 17.23 2 2 2 2 2 1 2 -0.82 1 2 14000 187.13 1.49 142.88 1.414 90.5 1.145
2 79 26.28 0.158 0.01 0.003 0 0 -1.704 19.71 0.945 0.208 0.006 0 -1.411 25.772 -0.038 6 6 2.17 2.6 2.67 2.5 2.5 2.16 1.99 2.46 3.33 3.75 4 1.2 2.25 47.5 46 14.33 2 2 2 2 2 1 2 -0.27 3 2 23000 94.1 0.47 88.82 0.594 38.45 -1.073
2 74.13 29.26 0.434 0.035 0.01 0 1 -1.457 17.61 0.866 0.096 0.002 0 -1.591 18.079 -0.578 5 8 2.67 2.8 3.33 2.5 2 3.35 3.44 4.92 4 3.67 4 1 1 46.75 52.5 16.89 2 2 2 2 2 1 2 -0.55 2 2 58000 179.06 1.363 108.23 0.859 78.76 0.562
2 70 33.9 0.829 0.168 0.047 0.001 1 -1.094 24.19 0.99 0.583 0.046 0.001 -1.032 27.494 0.075 5 6 3.83 3 4 1.25 2 2.28 2.23 1.75 3 3.5 3.5 1 1.75 46.75 54 17.37 2 2 2 2 2 1 2 -0.52 2 2 19000 185.8 1.467 139.69 1.356 97.92 1.637
2 68.9 26.95 0.21 0.013 0.004 0 0 -1.642 13 0.266 0.007 0 0 -2.182 10.365 -1.332 2 6 2.83 1.6 3 2 3.5 1.02 1.72 1.54 2.83 3.75 2.5 1.2 1.75 41.25 36 14.87 2 2 2 2 2 1 2 -1.36 1 1 475 127.88 0.817 96.44 0.697 51.59 -0.519
2 65.27 25.46 0.104 0.006 0.002 0 0 -1.781 17.41 0.854 0.088 0.002 0 -1.611 16.572 -0.699 5 7 3.67 3.4 3.33 1.25 2 1.72 2.23 2 2.83 3.5 3.25 1 1.5 43.75 42 15.43 2 2 2 2 2 1 2 -1.1 1 1 3800 148.83 1.015 112.63 0.922 63.51 -0.06
1 66.03 24.25 0.048 0.003 0.001 0 0 -1.941 19.39 0.937 0.187 0.005 0 -1.424 17.457 -0.627 2 4 2.83 2.2 3 2 3 1.44 1 1.75 2.5 3.25 3 1.4 1.5 42.5 45.5 17.71 2 2 2 2 2 1 2 -0.64 2 1 12000 135.18 0.885 86.16 0.557 73.41 0.333
2 76.1 36.22 0.921 0.313 0.096 0.001 3 -0.93 25.48 0.994 0.68 0.075 0.002 -0.94 25.547 -0.052 5 6 3.67 4 4 1.25 1 3.35 3.44 4.19 4 4 3.8 1 1 45.75 51.5 17.3 2 2 2 2 2 1 2 -0.47 2 2 35000 171.73 1.266 132.6 1.234 79.85 0.61
1 66.7 31.51 0.657 0.078 0.021 0 1 -1.3 18.76 0.918 0.15 0.004 0 -1.482 27.232 0.058 6 1 2.5 2.4 3.33 1.5 3 2.38 2.45 2.95 2.5 3 3.2 1.4 1.25 44.88 48.5 16.93 2 2 2 2 2 1 2 0.4 4 2 60000 161.1 1.142 146.1 1.475 90.02 1.118
2 62.1 46.1 0.997 0.903 0.644 0.054 2 -0.32 29.53 0.998 0.873 0.251 0.008 -0.689 27.444 0.072 8 6 3 2.8 2.67 1.25 1.5 2.48 3.33 3.92 4 3.67 3.8 1 2 44.75 48 16.85 2 2 2 2 2 1 2 1.21 5 2 110000 193.36 1.615 165.06 1.968 105.52 2.477
1 65 27.09 0.222 0.014 0.004 0 0 -1.627 21.63 0.975 0.36 0.016 0 -1.231 16.417 -0.711 5 8 3.33 2.6 3 1.5 2 2.67 2.67 2.95 3.67 3.67 3.8 1 2 45 48 16.67 2 1 2 2 2 1 2 -0.25 3 2 19000 189.61 1.536 161.14 1.828 93.32 1.314
2 71.43 25.69 0.118 0.007 0.002 0 2 -1.757 21.42 0.972 0.342 0.014 0 -1.25 17.593 -0.616 4 5 3.17 2.4 3.33 1.5 1.5 1.9 1.99 1.75 3.33 3.5 3.5 1 1 44 48.75 17.7 2 1 2 2 2 2 2 0.24 4 2 30000 168.17 1.223 150.08 1.555 65.77 0.027
2 65.9 48.56 0.998 0.943 0.757 0.104 3 -0.198 45.53 1 0.995 0.957 0.329 0.063 30.807 0.29 8 5 3.83 3.6 4 1.75 1.5 3.85 3.88 4.4 3.33 3.25 3 1.8 2.25 43.5 39.5 14.68 2 2 2 2 2 1 2 1.37 5 2 45000 202.88 1.925 162.29 1.864 98.63 1.695
2 73.6 56.44 1 0.986 0.924 0.409 2 0.081 47.25 1 0.997 0.97 0.413 0.129 25.523 -0.054 9 5 3.83 2.8 3.67 1.5 1.5 4.74 3.99 4.63 3.83 3.5 4 1.4 1.5 46.25 50.5 16.6 2 2 2 2 2 1 2 0.2 4 2 100000 189.74 1.538 162.5 1.871 85.63 0.885
2 67.9 34.41 0.855 0.195 0.055 0.001 3 -1.057 28.63 0.998 0.843 0.2 0.006 -0.735 23.808 -0.168 6 7 3.33 2.6 3.67 1.75 2 2.48 2.11 2 3 2.75 2.75 1.8 1 43.25 39 14.66 2 2 2 2 2 1 2 -0.43 2 2 35000 165.28 1.189 126.39 1.132 80.44 0.637
1 69 24.39 0.053 0.003 0.001 0 0 -1.921 18.03 0.888 0.114 0.003 0 -1.551 19.833 -0.446 8 8 3 3.2 3 1.25 1 2.28 1.86 2 2.83 3 2.5 1.6 1.5 49.13 44 12.82 2 2 2 2 2 1 2 -0.19 3 2 30000 164.55 1.18 120.01 1.032 96.82 1.553
2 62.77 33.93 0.831 0.169 0.047 0.001 1 -1.091 25.04 0.993 0.649 0.064 0.002 -0.971 28.762 0.157 4 4 3.83 2.6 4 1.25 2 2.16 1.72 2.67 2.17 3.25 4 1.2 1.25 42.88 42.75 16.35 2 2 2 2 2 1 2 -0.57 2 2 35000 196.05 1.682 140.78 1.376 93.06 1.298
1 73.63 33.41 0.801 0.145 0.04 0 0 -1.128 24.67 0.992 0.621 0.056 0.001 -0.997 26.851 0.033 4 6 2.83 3 3.33 1 2.5 2.67 3.44 3.92 3.5 3.5 3.6 1.2 1 44.38 51.25 18.3 2 2 2 2 2 1 2 0.48 4 2 150000 170.42 1.25 122.89 1.076 86.36 0.922
1 62.27 34.24 0.847 0.185 0.052 0.001 1 -1.071 25.84 0.994 0.704 0.085 0.002 -0.916 19.467 -0.473 6 3 2.83 2.8 4 1.25 1.5 2.96 3.99 4.19 3.5 3.75 3.2 1 1.75 44.19 55.25 19.9 2 2 2 2 2 1 2 -0.03 3 2 50000 132.31 0.859 133.56 1.25 73.61 0.341
2 68.47 33.54 0.809 0.151 0.042 0 0 -1.119 26.56 0.996 0.748 0.108 0.003 -0.868 21.756 -0.309 4 6 3.33 2.8 3.67 1.5 2.5 2.58 3.66 3.44 3.67 3.25 3.2 1 2 47.88 42.75 13.11 2 2 2 2 2 1 2 -0.48 2 2 35000 133.12 0.866 139.42 1.351 70.44 0.212
1 66.17 23.55 0.027 0.002 0.001 0 0 -2.032 16.13 0.752 0.049 0.001 0 -1.74 15.156 -0.819 3 6 3.67 3.2 4 1.25 2 2.15 2.23 2.26 2.67 3 3 1.4 1 48.25 49.5 14.95 2 2 2 2 2 1 2 -0.28 3 2 30000 106.45 0.609 93.55 0.658 67.08 0.078
2 71.4 27.88 0.294 0.02 0.006 0 1 -1.561 15.77 0.712 0.041 0.001 0 -1.809 24.763 -0.104 8 8 3.5 3.6 4 1.25 1.5 3.25 3.55 3.23 4 3.75 4 1 1 45.25 45 15.45 2 2 2 2 2 1 2 0.36 4 2 82000 200.99 1.843 156.1 1.69 100.79 1.887
1 64.43 32.25 0.72 0.1 0.027 0 3 -1.248 20.98 0.967 0.304 0.012 0 -1.286 27.992 0.107 3 4 3.5 2.8 4 1.75 2 2.67 2.56 2.46 2.33 2.5 3.4 2.6 1.5 47.69 59 18.24 2 2 2 2 2 1 2 -0.12 3 2 29000 195.75 1.675 156.96 1.711 106.16 2.591
2 66.33 32.75 0.757 0.118 0.032 0 3 -1.174 21.98 0.978 0.39 0.018 0 -1.203 18.49 -0.547 5 8 3.67 3 4 1.25 2 3.05 3.55 3.23 4 3.5 4 1.2 1.25 46.5 51.5 16.75 2 2 2 2 2 1 2 0.3 4 2 80000 100.68 0.547 127.93 1.157 79.86 0.611
2 62.63 24.8 0.07 0.004 0.001 0 1 -1.857 15.4 0.667 0.034 0.001 0 -1.834 20.299 -0.413 4 8 3.67 2.8 3.67 1.25 2.5 2.48 2.45 2 3.67 3.5 3.6 1 1 42.88 44.5 17.02 2 2 2 2 2 1 2 -0.38 2 2 50000 172.06 1.27 135.78 1.288 96.92 1.561
1 63.43 34.24 0.847 0.185 0.052 0.001 3 -1.069 29.02 0.998 0.857 0.221 0.007 -0.718 25.411 -0.061 3 6 2.83 2.6 4 1.25 2 2.67 3.33 4.19 2.17 3 2.2 2.4 2 43.69 44.25 16.3 2 2 2 2 2 1 2 0.22 4 2 23000 195.35 1.664 160.39 1.805 97.54 1.608
